Month,Day,Year,Song,Artist,Time
September,12,2014,Goodbye To A World,Porter Robinson,9:11pm
September,12,2014,Sad Machine,Porter Robinson,9:06pm
September,12,2014,Goodbye To A World,Porter Robinson,8:56pm
September,12,2014,Do I See Color (Big Gigantic Remix),Adventure Club,2:45pm
September,12,2014,Never Gonna Die - Original Mix,Virtual Riot,2:41pm
September,12,2014,Disintegration - Original Mix,Le Castle Vania,2:36pm
September,12,2014,Figure 8,Ellie Goulding,2:33pm
September,12,2014,PreGame,Bombs and Bottles,2:31pm
September,11,2014,Days to Come,Seven Lions,5:11pm
September,11,2014,Desire,Meg Myers,5:06pm
September,11,2014,Replay,Zendaya,5:03pm
September,11,2014,Your Song - Farleon Remix,The Two Friends,4:56pm
September,11,2014,Toes in the Sand - Original Mix,Dinka,4:50pm
September,11,2014,Circuit Breaker,Röyksopp,4:44pm
September,11,2014,Break Me Shake Me,Enrique Iglesias,4:41pm
September,11,2014,Summer Ashes (Original Mix) - Original,Kevin Drew,4:36pm
September,11,2014,Lost in Me - Splinter's eMotion Picture Remix,Emily Underhill,4:30pm
September,11,2014,Moondust,Jaymes Young,4:26pm
September,11,2014,Los Caminos De La Vida,La Tropa Vallenata,4:21pm
September,11,2014,...And Counting,LIGHTS,4:17pm
September,11,2014,Figure 8,Ellie Goulding,4:13pm
September,11,2014,Somewhere Only We Know,Keane,4:09pm
September,11,2014,Never Gonna Die - Original Mix,Virtual Riot,4:05pm
September,11,2014,Stay The Night - featuring Hayley Williams of Paramore,Zedd,4:01pm
September,11,2014,Apollo Road - Toby Hedges Radio Edit,Atb,3:58pm
September,11,2014,Youth - Adventure Club Remix,Foxes,3:54pm
September,11,2014,Free Me,Xilent feat. Charlotte Haining,3:49pm
September,11,2014,Time Machine,Robyn,1:49am
September,11,2014,Desire,Meg Myers,1:44am
September,11,2014,Si No Te Hubieras Ido,Marco Antonio Solís,1:40am
September,11,2014,Who We Are [Mix Cut] - Original Mix,Luigi Lusini,1:34am
September,11,2014,Lights (5vel Remix),Aruna,1:26am
September,10,2014,Burn Up - Dabin Remix,Rollz feat. Katie's Ambition,6:47pm
September,10,2014,Free Me,Xilent feat. Charlotte Haining,6:42pm
September,10,2014,California Callin',Enrique Iglesias,6:38pm
September,10,2014,Leaving You - Thomas Newson Radio Edit,Audien,6:35pm
September,10,2014,Oceans,Crywolf,6:31pm
September,10,2014,Turn Down for What,DJ Snake,6:27pm
September,10,2014,Toes in the Sand - Original Mix,Dinka,6:20pm
