Month,Day,Year,Song,Artist,Time
December,31,2013,Callisto - Radio Edit,Dash Berlin,11:53pm
December,31,2013,Silence Pt. II,Crywolf,11:19am
December,31,2013,Touch Sound,Xilent,11:15am
December,31,2013,Somewhere Only We Know,Keane,11:15am
December,31,2013,Callisto - Radio Edit,Dash Berlin,6:09am
December,31,2013,Waiting,Dash Berlin,6:09am
December,31,2013,Breathe in Air,Phaeleh,6:03am
December,31,2013,Strangers,Seven Lions,5:59am
December,31,2013,Days to Come,Seven Lions,5:54am
December,31,2013,Hide And Seek,Imogen Heap,5:50am
December,31,2013,Assassin's Creed III Main Theme (Wall of Sound Remix),Lorne Balfe,5:47am
December,31,2013,Speeding - Original Mix,Rudimental,5:46am
December,30,2013,Speeding - Original Mix,Rudimental,11:15pm
December,30,2013,Hide And Seek,Imogen Heap,11:10pm
December,30,2013,Hide & Seek 2,Imogen Heap,11:10pm
December,30,2013,Lies,Marina and The Diamonds,10:32pm
December,30,2013,City Life [Mix Cut],BT,10:26pm
December,30,2013,Every Other Way - George Acosta Remix,BT featuring JES,10:20pm
December,30,2013,Southern Boy - 12th Planet & Flinch Remix,DJ Sneak,10:03pm
December,30,2013,Southern Boy - 12th Planet & Flinch Remix,DJ Sneak,10:03pm
December,30,2013,Let You Fall - Radio Cut,Stoneface & Terminal with Amurai,10:01pm
December,30,2013,Assassin's Creed III Main Theme (Wall of Sound Remix),Lorne Balfe,9:52pm
December,30,2013,Medicine,Daughter,9:51pm
December,30,2013,Medicine,Daughter,9:29pm
December,30,2013,Tranquilize,Finish Ticket,9:29pm
December,30,2013,Víveme,Laura Pausini,9:25pm
December,30,2013,Do I See Color (Big Gigantic Remix),Adventure Club,9:16pm
December,30,2013,Youth - Adventure Club Remix,Foxes,9:11pm
December,30,2013,Female Robbery,The Neighbourhood,9:09pm
December,30,2013,Afraid,The Neighbourhood,9:05pm
December,30,2013,Operate,ASTR,9:01pm
December,30,2013,Figure 8,Ellie Goulding,8:57pm
December,30,2013,Days to Come,Seven Lions,8:52pm
December,30,2013,First Breath - Vocal Mix,Aqua Diva,8:51pm
December,30,2013,First Breath - Vocal Mix,Aqua Diva,7:04pm
December,30,2013,So High,Ghost Loft,7:02pm
December,30,2013,Oblivion (feat. Susanne Sundfør),M83,5:30pm
December,30,2013,We Own The Sky,M83,5:18pm
December,30,2013,Midnight City,M83,5:14pm
December,30,2013,Animus Island,Jesper Kyd,5:08pm
December,30,2013,Ezio's Family (Assassin's Creed 2),Taylor Davis,5:04pm
December,30,2013,Assassin's Creed 4 Black Flag the Musical,Logan Hugueny-Clark,5:02pm
December,30,2013,Assassin's Creed III Theme,Taylor Davis,4:59pm
December,30,2013,Sailing to Constantinople,Lorne Balfe,4:57pm
December,30,2013,My Body is a Cage (From "Assassins Creed 3") - Orchestral Mix,Thematic Pianos,4:54pm
December,30,2013,Ezio's Family (Assassin's Creed),L'Orchestra d'Academie & Chorus,4:53pm
December,30,2013,Assassin's Creed 3 Theme,Taylor Davis,4:52pm
December,30,2013,Assassin's Creed III Main Theme (Wall of Sound Remix),Lorne Balfe,4:45pm
December,30,2013,Curtain Call,Jacuzzi,4:43pm
December,30,2013,So High,Ghost Loft,4:40pm
December,30,2013,Mindreader - Original Mix,Virtual Riot,4:35pm
December,30,2013,Truth (Dabin Remix),Tristam,4:29pm
December,29,2013,Bravest Everything - Bonus Track,Yuna,1:42pm
December,29,2013,Bravest Everything - Bonus Track,Yuna,1:38pm
December,29,2013,Light It Up (feat. Heather Bright),Flinch feat. Heather Bright,1:35pm
December,29,2013,The Great Divide - Radio Edit,Velvetine,1:32pm
December,29,2013,Lies,Marina and The Diamonds,1:25pm
December,29,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,1:25pm
December,29,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,12:08pm
December,29,2013,So High,Ghost Loft,12:04pm
December,29,2013,Get Down - Original Mix,Apashe,11:59am
December,29,2013,Truth - Candyland Remix,Tristam,11:59am
December,28,2013,Truth - Candyland Remix,Tristam,10:52pm
December,28,2013,Truth (Anna Yvette Remix),Tristam,10:52pm
December,28,2013,Truth (Dabin Remix),Tristam,10:47pm
December,28,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,10:43pm
December,28,2013,So High,Ghost Loft,10:40pm
December,28,2013,Follow You Down,Zedd,10:30pm
December,28,2013,Days to Come,Seven Lions,10:25pm
December,28,2013,Do I See Color (Big Gigantic Remix),Adventure Club,10:19pm
December,28,2013,Youth - Adventure Club Remix,Foxes,10:14pm
December,28,2013,Lullabies,Yuna,10:10pm
December,28,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,10:06pm
December,28,2013,So High,Ghost Loft,10:03pm
December,28,2013,Curtain Call,Jacuzzi,10:03pm
December,28,2013,Curtain Call,Jacuzzi,6:07pm
December,28,2013,Mindreader - Original Mix,Virtual Riot,6:02pm
December,28,2013,So High,Ghost Loft,5:59pm
December,28,2013,So High,Ghost Loft,5:58pm
December,28,2013,So High,Ghost Loft,3:05pm
December,28,2013,So High,Ghost Loft,3:02pm
December,28,2013,Truth (Dabin Remix),Tristam,2:57pm
December,28,2013,Days to Come,Seven Lions,2:49pm
December,28,2013,Friday I'm In Love,The Cure,2:49pm
December,27,2013,Friday I'm In Love,The Cure,9:39pm
December,27,2013,How Long Will I Love You,Jon Boden,9:36pm
December,27,2013,Gold In Them Hills,Ron Sexsmith,9:35pm
December,27,2013,Il Mondo,Jimmy Fontana,9:34pm
December,27,2013,Lasso,Phoenix,9:32pm
December,27,2013,The Phoenix,Fall Out Boy,9:28pm
December,27,2013,California Callin',Enrique Iglesias,9:28pm
December,27,2013,California Callin',Enrique Iglesias,9:24pm
December,27,2013,Heartbeat (Enrique Iglesias and Nicole Scherzinger Tribute) (Miami Acapella Mix),DJ Mr. Miami,9:24pm
December,27,2013,Heartbeat,Enrique Iglesias,9:19pm
December,27,2013,Hung Up,Madonna,9:14pm
December,27,2013,Islands,The xx,2:19pm
December,27,2013,Crystalised,The xx,2:15pm
December,27,2013,Intro,The xx,2:13pm
December,26,2013,Mindreader - Original Mix,Virtual Riot,10:20pm
December,26,2013,Mindreader - Original Mix,Virtual Riot,10:56am
December,26,2013,Mindreader - Original Mix,Virtual Riot,10:51am
December,24,2013,Lullabies,Yuna,9:47pm
December,24,2013,Mindreader - Original Mix,Virtual Riot,9:42pm
December,24,2013,Truth - Candyland Remix,Tristam,9:38pm
December,24,2013,Hush Now (501 Remix),L.A.O.S,9:35pm
December,24,2013,Youth - Adventure Club Remix,Foxes,9:31pm
December,24,2013,Tundra,Jacuzzi,9:28pm
December,24,2013,Let It Go,The Neighbourhood,9:27pm
December,24,2013,Figure 8,Ellie Goulding,9:25pm
December,24,2013,Female Robbery,The Neighbourhood,9:25pm
December,24,2013,Crystalised,The xx,9:21pm
December,24,2013,Lights (5vel Remix),Aruna,9:19pm
December,24,2013,Callisto - Radio Edit,Dash Berlin,9:16pm
December,24,2013,Retro City,Adventure Club,8:27pm
December,24,2013,Mindreader - Original Mix,Virtual Riot,8:22pm
December,24,2013,Never Gonna Die - Original Mix,Virtual Riot,8:21pm
December,24,2013,Never Gonna Die - Original Mix,Virtual Riot,5:19pm
December,24,2013,Figure 8,Ellie Goulding,5:11pm
December,24,2013,Drop It - Original Mix,DMNDZ,5:10pm
December,24,2013,Loose Ends,Jacuzzi,5:10pm
December,24,2013,Tundra,Jacuzzi,5:07pm
December,24,2013,Truth (Dabin Remix),Tristam,5:04pm
December,24,2013,Black Light - MAE917 Remix,Lisa Rowe,5:02pm
December,24,2013,Black Light - MAE917 Remix,Lisa Rowe,4:49pm
December,24,2013,Black Light - Hairitage Remix,Lisa Rowe,4:48pm
December,24,2013,Black Light - Original Mix,Lisa Rowe,4:47pm
December,24,2013,Mindreader - Original Mix,Virtual Riot,1:56pm
December,24,2013,Feel So Close - Nero Dub,Calvin Harris,8:58am
December,24,2013,Feel so Close - Nero Remix,Calvin Harris,8:54am
December,24,2013,Mañana Es Para Siempre,Alejandro Fernandez,8:53am
December,23,2013,Days to Come,Seven Lions,12:48pm
December,23,2013,Look At Me Now,London Future & Djemba Djemba feat. Ifa Sayo,12:44pm
December,23,2013,Truth (Dabin Remix),Tristam,12:37pm
December,23,2013,Follow You Down,Zedd,12:24pm
December,23,2013,Get Down - Original Mix,Apashe,10:05am
December,23,2013,Get Down - Original Mix,Apashe,8:11am
December,22,2013,Days to Come,Seven Lions,10:38pm
December,22,2013,Curtain Call,Jacuzzi,10:31pm
December,22,2013,Youth - Adventure Club Remix,Foxes,10:28pm
December,22,2013,Lonely (feat. Bijou),Rezonate,10:27pm
December,22,2013,Lonely (feat. Bijou),Rezonate,7:40pm
December,22,2013,Mindreader - Original Mix,Virtual Riot,7:32pm
December,22,2013,Cuando Pase el Temblor,Soda Stereo,6:37pm
December,22,2013,Get Down - Original Mix,Apashe,6:33pm
December,22,2013,Lonely (feat. Bijou),Rezonate,6:26pm
December,22,2013,Trouble,Coldplay,6:22pm
December,22,2013,Let You Fall - Banging Radio Edit,Stoneface & Terminal,6:17pm
December,22,2013,Truth - Candyland Remix,Tristam,6:12pm
December,22,2013,Mindreader - Original Mix,Virtual Riot,6:12pm
December,22,2013,Mindreader - Original Mix,Virtual Riot,6:09pm
December,22,2013,Truth - Candyland Remix,Tristam,6:08pm
December,22,2013,Days to Come,Seven Lions,2:32pm
December,22,2013,Lonely (feat. Bijou),Rezonate,2:25pm
December,22,2013,Trouble,Coldplay,12:09pm
December,22,2013,Get Down - Original Mix,Apashe,7:39am
December,22,2013,Get Down - Original Mix,Apashe,7:17am
December,22,2013,Truth - Candyland Remix,Tristam,6:45am
